Name|Age|Hometown|Boarded|Destination|Lifeboat|Body|Pclass|Survived|CrewDept|Position|Gender
Allen, Miss Elizabeth Walton|29|St Louis, Missouri, US|Southampton|St Louis, Missouri, US|2||1|TRUE|||F
Allison, Mr. Hudson Joshua Creighton|30|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada||135MB|1|FALSE|||M
and chauffeur, Mr. George Swane[59]|19|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada||294MB|1|FALSE|||M
"and cook, Miss Amelia Mary ""Mildred"" Brown[59]"|18|London, England, UK|Southampton|Montreal, Quebec, Canada|11||1|TRUE|||F
Allison, Mrs. Bessie Waldo (née Daniels)|25|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|||1|FALSE|||F
and maid, Miss Sarah Daniels|33|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|8||1|TRUE|||F
Allison, Miss Helen Loraine|2|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|||1|FALSE|||F
Allison, Master Hudson Trevor|0.9167|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|11||1|TRUE|||M
and nurse, Miss Alice Catherine Cleaver|22|London, England, UK|Southampton|Montreal, Quebec, Canada|11||1|TRUE|||F
Anderson, Mr. Harry|47|New York, New York, US|Southampton|New York, New York, US|3||1|TRUE|||M
Andrews, Miss Kornelia Theodosia|62|Hudson, New York, US|Cherbourg|Hudson, New York, US|10||1|TRUE|||F
Andrews, Mr. Thomas[60]|39|Belfast, Ireland, UK|Belfast|New York, New York, US|||1|FALSE|||M
Appleton, Mrs. Charlotte Lane (née Lamson)|53|New York, New York, US|Southampton|New York, New York, US|2||1|TRUE|||F
Artagaveytia, Mr. Ramon|71|Buenos Aires, Argentina|Cherbourg|New York, New York, US||22MB|1|FALSE|||M
Astor, Colonel John Jacob IV|47|New York, New York, US|Cherbourg|New York, New York, US||124MB|1|FALSE|||M
Astor, Mrs. Madeleine Talmage (née Force)[61][62]|18|New York, New York, US|Cherbourg|New York, New York, US|4||1|TRUE|||F
and maid, Miss Rosalie Bidois|46|New York, New York, US|Cherbourg|New York, New York, US|4||1|TRUE|||F
and nurse, Miss Caroline Louise Endres|39|New York, New York, US|Cherbourg|New York, New York, US|4||1|TRUE|||F
Aubart, Mrs. Léontine Pauline[63]|24|Paris, France|Cherbourg|New York, New York, US|9||1|TRUE|||F
and maid, Miss Emma Sägesser|24|Paris, France|Cherbourg|New York, New York, US|9||1|TRUE|||F
Barkworth, Mr. Algernon Henry Wilson|47|Hessle, East Yorkshire, England, UK|Southampton|New York, New York, US|B||1|TRUE|||M
Baumann, Mr. John D.|60|New York, New York, US|Cherbourg|New York, New York, US|||1|FALSE|||M
Baxter, Mrs. Hélène (née de Lanaudière-Chaput)|50|Montreal, Quebec, Canada|Cherbourg|Montreal, Quebec, Canada|6||1|TRUE|||F
Baxter, Mr. Quigg Edmond|24|Montreal, Quebec, Canada|Cherbourg|Montreal, Quebec, Canada|||1|FALSE|||M
Beattie, Mr. Thomson|36|Fergus, Ontario, Canada|Southampton|Fergus, Ontario, Canada|A[64]|331O|1|FALSE|||M
Beckwith, Mr. Richard Leonard|37|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||M
Beckwith, Mrs. Sallie (née Monypeny)|46|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||F
Behr, Mr. Karl Howell|26|New York, New York, US|Cherbourg|New York, New York, US|5||1|TRUE|||M
Birnbaum, Mr. Jakob|24|Antwerp, Belgium|Cherbourg|San Francisco, California, US||148MB|1|FALSE|||M
"Bishop, Mr. Dickinson H. ""Dick"""|25|Dowagiac, Michigan, US|Cherbourg|Dowagiac, Michigan, US|7||1|TRUE|||M
Bishop, Mrs. Helen (née Walton)[62][65]|19|Dowagiac, Michigan, US|Cherbourg|Dowagiac, Michigan, US|7||1|TRUE|||F
Björnström-Steffanson, Mr. Mauritz Håkan|28|Stockholm, Sweden|Southampton|Washington, D.C., US|D||1|TRUE|||M
Blackwell, Mr. Stephen Weart|45|Trenton, New Jersey, US|Southampton|Trenton, New Jersey, US|||1|FALSE|||M
Blank, Mr. Henry|39|Glen Ridge, New Jersey, US|Cherbourg|Glen Ridge, New Jersey, US|7||1|TRUE|||M
Bonnell, Miss Elizabeth|61|Youngstown, Ohio, US|Southampton|Youngstown, Ohio, US|8||1|TRUE|||F
Bonnell, Miss Caroline|30|Youngstown, Ohio, US|Southampton|Youngstown, Ohio, US|8||1|TRUE|||F
Borebank, Mr. John James|42|London, England, UK|Southampton|Toronto, Ontario, Canada|||1|FALSE|||M
Bowerman, Miss Elsie Edith|22|St Leonards-on-Sea, East Sussex, England, UK|Southampton|New York, New York, US|6||1|TRUE|||F
Brady, Mr. John Bertram|41|Pomeroy, Washington, US|Southampton|Pomeroy, Washington, US|||1|FALSE|||M
Brandeis, Mr. Emil|48|Omaha, Nebraska, US|Cherbourg|Omaha, Nebraska, US||208MB|1|FALSE|||M
Brereton, Mr. George Andrew (alias George A. Brayton)|37|Los Angeles, California, US|Southampton|Los Angeles, California, US|9||1|TRUE|||M
Brewe, Dr. Arthur Jackson|45|Philadelphia, Pennsylvania, US|Cherbourg|Philadelphia, Pennsylvania, US|||1|FALSE|||M
Brown, Mrs. Caroline Lane (née Lamson)|59|Belmont, Massachusetts, US|Southampton|Belmont, Massachusetts, US|D||1|TRUE|||F
Brown, Mrs. Margaret (née Tobin)|44|Denver, Colorado, US|Cherbourg|Denver, Colorado, US|6||1|TRUE|||F
Bucknell, Mrs. Emma Eliza (née Ward)|59|Philadelphia, Pennsylvania, US|Cherbourg|Philadelphia, Pennsylvania, US|8||1|TRUE|||F
and maid, Miss Albina Bazzani|36|Philadelphia, Pennsylvania, US|Cherbourg|Philadelphia, Pennsylvania, US|8||1|TRUE|||F
Butt, Major Archibald Willingham|46|Washington, D.C., US|Southampton|Washington, D.C., US|||1|FALSE|||M
Calderhead, Mr. Edward Pennington|42|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||M
Candee, Mrs. Helen Churchill (née Hungerford)|53|Washington, D.C., US|Cherbourg|Washington, D.C., US|6||1|TRUE|||F
Cardeza, Mrs. Charlotte Wardle (née Drake)|58|Germantown, Pennsylvania, US|Cherbourg|Germantown, Pennsylvania, US|3||1|TRUE|||F
and maid, Miss Annie Moore Ward|38|Germantown, Pennsylvania, US|Cherbourg|Germantown, Pennsylvania, US|3||1|TRUE|||F
Cardeza, Mr. Thomas Drake Martinez|36|Germantown, Pennsylvania, US|Cherbourg|Germantown, Pennsylvania, US|3||1|TRUE|||M
and valet, Mr. Gustave J. Lesueur|35|Germantown, Pennsylvania, US|Cherbourg|Germantown, Pennsylvania, US|3||1|TRUE|||M
Carlsson, Mr. Frans Olof|33|New York, New York, US|Southampton|New York, New York, US|||1|FALSE|||M
Carrau, Mr. Francisco M.|31|Montevideo, Uruguay|Southampton|Montevideo, Uruguay|||1|FALSE|||M
Carrau, Mr. José Pedro|17|Montevideo, Uruguay|Southampton|Montevideo, Uruguay|||1|FALSE|||M
Carter, Mr. William Ernest|36|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|C||1|TRUE|||M
and valet, Mr. Alexander Cairns|28|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|||1|FALSE|||M
and chauffeur, Mr. Charles Augustus Aldworth[59]|30|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|||1|FALSE|||M
Carter, Mrs. Lucile (née Polk)|36|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|4||1|TRUE|||F
and maid, Miss Auguste Serreplan|30|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|4||1|TRUE|||F
Carter, Miss Lucile Polk|13|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|4||1|TRUE|||F
Carter, Master William Thornton II|11|Bryn Mawr, Pennsylvania, US|Southampton|Bryn Mawr, Pennsylvania, US|4||1|TRUE|||M
Case, Mr. Howard Brown|49|Ascot, Berkshire, England, UK|Southampton|Rochester, New York, US|||1|FALSE|||M
Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)|36|New York, New York, US|Cherbourg|New York, New York, US|5||1|TRUE|||F
Cavendish, Mr. Tyrell William|36|London, England, UK|Southampton|New York, New York, US||172MB|1|FALSE|||M
Cavendish, Mrs. Julia Florence (née Siegel)|25|London, England, UK|Southampton|New York, New York, US|6||1|TRUE|||F
"and maid, Miss Ellen ""Nellie"" Barber"|26|London, England, UK|Southampton|New York, New York, US|6||1|TRUE|||F
Chaffee, Mr. Hubert Fuller|46|Amenia, North Dakota, US|Southampton|Amenia, North Dakota, US|||1|FALSE|||M
Chaffee, Mrs. Carrie Constance (née Toogood)|47|Amenia, North Dakota, US|Southampton|Amenia, North Dakota, US|4||1|TRUE|||F
Chambers, Mr. Norman Campbell|27|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||M
Chambers, Mrs. Bertha (née Griggs)|32|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||F
Cherry, Miss Gladys|30|London, England, UK|Southampton|Vancouver, British Columbia, Canada|8||1|TRUE|||F
Chevré, Mr. Paul Romaine Marie Léonce|45|Paris, France|Cherbourg|Ottawa, Ontario, Canada|7||1|TRUE|||M
Chibnall, Mrs. Edith Martha Bowerman (née Barber)|48|St Leonards-on-Sea, East Sussex, England, UK|Southampton|New York, New York, US|6||1|TRUE|||F
Chisholm, Mr. Roderick Robert Crispin[60]|40|Belfast, Ireland, UK|Belfast|New York, New York, US|||1|FALSE|||M
Clark, Mr. Walter Miller|27|Los Angeles, California, US|Cherbourg|Los Angeles, California, US|||1|FALSE|||M
Clark, Mrs. Virginia Estelle (née McDowell)|26|Los Angeles, California, US|Cherbourg|Los Angeles, California, US|4||1|TRUE|||F
Clifford, Mr. George Quincy|40|Stoughton, Massachusetts, US|Southampton|Stoughton, Massachusetts|||1|FALSE|||M
Colley, Mr. Edward Pomeroy|37|Dublin, Ireland, UK[note 1]|Southampton|Vancouver, British Columbia, Canada|||1|FALSE|||M
Compton, Mrs. Mary Eliza (née Ingersoll)|64|Lakewood, New Jersey, US|Cherbourg|Lakewood, New Jersey, US|14||1|TRUE|||F
Compton, Miss Sara Rebecca|39|Lakewood, New Jersey, US|Cherbourg|Lakewood, New Jersey, US|14||1|TRUE|||F
Compton, Mr. Alexander Taylor Jr.|37|Lakewood, New Jersey, US|Cherbourg|Lakewood, New Jersey, US|||1|FALSE|||M
Cornell, Mrs. Malvina Helen (née Lamson)|55|New York, New York, US|Southampton|New York, New York, US|2||1|TRUE|||F
Crafton, Mr. John Bertram|59|Roachdale, Indiana, US|Southampton|Roachdale, Indiana, US|||1|FALSE|||M
Crosby, Captain Edward|70|Milwaukee, Wisconsin, US|Southampton|Milwaukee, Wisconsin, US||269MB|1|FALSE|||M
Crosby, Mrs. Catherine Elizabeth (née Halstead)|64|Milwaukee, Wisconsin, US|Southampton|Milwaukee, Wisconsin, US|7||1|TRUE|||F
Crosby, Miss Harriette Rebecca|39|Milwaukee, Wisconsin, US|Southampton|Milwaukee, Wisconsin, US|7||1|TRUE|||F
Cumings, Mr. John Bradley|39|New York, New York, US|Cherbourg|New York, New York, US|||1|FALSE|||M
Cumings, Mrs. Florence Briggs (née Thayer)|35|New York, New York, US|Cherbourg|New York, New York, US|4||1|TRUE|||F
Daly, Mr. Peter Dennis|51|Lima, Peru|Southampton|Lima, Peru|A||1|TRUE|||M
Daniel, Mr. Robert Williams|27|Philadelphia, Pennsylvania, US|Southampton|Philadelphia, Pennsylvania, US|3||1|FALSE|||M
Davidson, Mr. Thornton|31|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|||1|FALSE|||M
Davidson, Mrs. Orian (née Hays)|27|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|3||1|TRUE|||F
Dick, Mr. Albert Adrian|31|Calgary, Alberta, Canada|Southampton|Calgary, Alberta, Canada|3||1|TRUE|||M
Dick, Mrs. Vera (née Gillespie)|17|Calgary, Alberta, Canada|Southampton|Calgary, Alberta, Canada|3||1|TRUE|||F
Dodge, Dr. Washington|52|San Francisco, California, US|Southampton|San Francisco, California, US|13||1|TRUE|||M
Dodge, Mrs. Ruth (née Vidaver)|34|San Francisco, California, US|Southampton|San Francisco, California, US|5||1|TRUE|||F
Dodge, Master Washington, Jr.|4|San Francisco, California, US|Southampton|San Francisco, California, US|5||1|TRUE|||M
Douglas, Mr. Walter Donald|50|Minneapolis, Minnesota, US|Cherbourg|Minneapolis, Minnesota, US||62MB|1|FALSE|||M
Douglas, Mrs. Mahala (née Dutton)|48|Minneapolis, Minnesota, US|Cherbourg|Minneapolis, Minnesota, US|2||1|TRUE|||F
and maid, Miss Berthe Leroy|27|Minneapolis, Minnesota, US|Cherbourg|Minneapolis, Minnesota, US|2||1|TRUE|||F
Douglas, Mrs. Mary Hélène (née Baxter)|27|Montreal, Quebec, Canada|Cherbourg|Montreal, Quebec, Canada|6||1|TRUE|||F
Duff Gordon, Sir Cosmo Edmund|49|London, England, UK|Cherbourg|New York, New York, US|1||1|TRUE|||M
Duff Gordon, Lucy Christiana, Lady (née Sutherland)|48|London, England, UK|Cherbourg|New York, New York, US|1||1|TRUE|||F
